feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(0, 1, 2, 8, 9, 10, 11)",[0.89733473 0.90325233 0.88548292 0.90287981 0.90629234],0.8990484248291196,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.00947611303198675,0.007372737876396813,0.0036863689381984063
"(0, 1, 2, 5, 8, 9, 10, 11)",[0.89733473 0.90325233 0.88381618 0.90287981 0.90629234],0.8987150775413786,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'Period_band_i', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.010269932434371656,0.0079903563403415,0.003995178170170749
"(1, 4, 5, 8, 9, 10, 11)",[0.90744651 0.89183434 0.88726082 0.90574918 0.90125441],0.8987090513887015,"('SPM_A_Y', 'i-z', 'Period_band_i', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.010131958010876699,0.007883007551376916,0.003941503775688458
"(0, 1, 3, 5, 8, 9, 11)",[0.89831251 0.90246412 0.87543255 0.91360376 0.90309012],0.8985806123828836,"('Harmonics_phase_2_i', 'SPM_A_Y', 'r-i', 'Period_band_i', 'delta_period_i', 'g-r', 'Power_rate_4')",0.016227446405081804,0.012625504607648419,0.0063127523038242084
"(0, 1, 2, 5, 9, 10, 11)",[0.89919518 0.90308589 0.88214788 0.90116339 0.90649405],0.89841727714868,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'Period_band_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.010904083196012795,0.00848374717727174,0.00424187358863587
"(0, 1, 3, 5, 9, 10, 11)",[0.89478526 0.90445663 0.87523871 0.91013206 0.90723789],0.8983701093022111,"('Harmonics_phase_2_i', 'SPM_A_Y', 'r-i', 'Period_band_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.01627748282509977,0.012664434642338854,0.006332217321169426
"(0, 1, 2, 3, 4, 9, 10, 11)",[0.89545389 0.89588964 0.88750712 0.89740902 0.91550157],0.898352246791289,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.011878626592880174,0.009241975048765389,0.004620987524382694
"(1, 2, 3, 4, 10, 11)",[0.91168334 0.89198531 0.8857689  0.88378238 0.91751592],0.8981471704474308,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Harmonics_phase_2_r', 'Power_rate_4')",0.017771567277120252,0.013826883105412698,0.006913441552706348
"(0, 1, 4, 5, 8, 9, 10, 11)",[0.89644635 0.8994037  0.88896217 0.90404569 0.90114382],0.8980003435720768,"('Harmonics_phase_2_i', 'SPM_A_Y', 'i-z', 'Period_band_i', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.006616450469877676,0.005147823250092997,0.0025739116250464984
"(1, 4, 5, 9, 10, 11)",[0.90937435 0.89159614 0.8852373  0.90206844 0.90149558],0.8979543633205089,"('SPM_A_Y', 'i-z', 'Period_band_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.010936799440102488,0.008509201526661552,0.004254600763330775
